Donors,HOMO,HOMO-1,LUMO,LUMO+1,ES,ET,DET1,Nd
1DTP-1D,-2.621274162,-4.836010008,-2.280043206,-2.223715608,-170787.1825,-170787.617,-0.4344748998,57
2DTP-1D,-2.535558252,-2.774474344,-2.280587434,-2.166571668,-227771.7566,-227772.1105,-0.3539011281,70
BDT-1T-ID,-2.721956342,-2.821550066,-2.277322066,-2.186708104,-151135.1189,-151135.5725,-0.4535661459,56
BDT-2T-ID,-4.61913515,-5.373435158,-2.560864854,-2.502632458,-194054.802,-194053.1509,1.651127071,66
BTR,-2.700459336,-3.05584022,-2.50208823,-2.36875237,-279330.3513,-279330.4638,-0.1125300235,68
CD1,-3.243054652,-4.412600624,-2.265621164,-1.589689988,-174899.7305,-174900.2436,-0.513154486,41
D18,-4.780226638,-5.056694462,-1.78642841,-1.65717426,-188383.8418,-188381.8508,1.991024668,47
DTCPB,-5.077103012,-6.451550826,-3.268361254,-1.43131964,-45117.07873,-45115.55162,1.527117374,29
P1,-6.22460775,-6.49264004,-5.175336166,-4.709476998,-174315.1647,-174315.9999,-0.8352318818,53
P3HT,-5.26676647,-6.513320704,-0.234562268,0.746408702,-23605.15653,-23602.2465,2.910035743,5
P3TEA,-4.0136815,-5.0749261,-2.925497614,-2.508074738,-228316.9996,-228316.1892,0.8103952206,52
PB2,-4.933154706,-5.76201395,-2.340724628,-1.852552112,-144449.5184,-144447.8163,1.702055655,37
PBDB-T,-4.93342682,-5.394932164,-2.597600244,-2.096366256,-164725.7428,-164724.0975,1.645233626,46
PBDB-TF(PM6),-5.059143488,-5.482008644,-2.562769652,-2.12929205,-165851.0826,-165849.3996,1.682962232,46
PBDB-TS-4Cl,-4.914650954,-5.326359436,-2.583178202,-2.257457744,-211407.7964,-211406.3311,1.465290896,46
PBDB-TS,-3.047404686,-4.383212312,-2.163578414,-1.731733496,-186368.8563,-186368.9025,-0.04612794894,46
PBDB-TSCl,-4.750838326,-5.296971124,-2.448481772,-1.948880468,-211407.0523,-211405.2512,1.801104062,46
PBQx-TCl,-4.86948003,-5.137784434,-1.863436672,-1.688739484,-199283.2528,-199281.3079,1.944930733,48
PCDTBT,-4.86539832,-5.480103846,-2.933116806,-1.499892368,-84502.5714,-84501.35892,1.212481479,32
PDTBTBz-2Fanti,-4.234638068,-5.242820438,-2.381269614,-1.170906542,-104403.894,-104402.1793,1.714701337,25
PPDT2FBT,-5.117375884,-5.88310468,-2.401678164,-1.11022512,-102276.1592,-102274.0226,2.136540623,25
PTB7-Th(PCE10),-4.68172137,-5.465137576,-2.367936028,-1.875137574,-125731.0464,-125729.5985,1.447815735,32
PTB7,-4.904038508,-5.60282726,-2.388344578,-1.543158494,-99795.22201,-99793.7865,1.435505025,22
PTQ10,-5.509492158,-6.50624574,-2.21228682,-0.700421436,-53089.89105,-53087.61861,2.272443334,15
PTVT-T,-5.42595316,-6.320119764,-2.390793604,-1.157300842,-85254.79642,-85252.82449,1.971932061,21
PTVT-V,-5.293161528,-6.499715004,-2.203307058,-0.749129842,-72347.50251,-72345.56573,1.936783096,18
TPD-3F,-2.961416662,-3.308362012,-2.579912834,-2.203579172,-165085.1244,-165086.2839,-1.159458162,42
WF3,-2.801685744,-3.123324492,-2.514877588,-1.475946336,-161898.3188,-161897.6208,0.697962886,54
WF3F,-4.670564696,-5.232207992,-2.509435308,-1.665609794,-167370.5481,-167368.677,1.871089878,54
WF3S,-2.871891156,-3.297749566,-2.580184948,-1.969833246,-186790.6258,-186790.8374,-0.2115920368,54
